equation1,equation2,x,y
7x - 7y = 70,8x + 5y = 145,15,5
12x + 19y = 88,2x + 9y = 38,1,4
15x - 2y = 4,3x + 3y = 45,2,13
6x + 5y = -11,8x + 10y = -38,4,-7
20x + 17y = 239,13x + 20y = 218,6,7
8x - 16y = -208,14x + 4y = 84,2,14
7x + 20y = 155,20x + 11y = 166,5,6
17x + 2y = 148,16x + 3y = 146,8,6
10x + 14y = 12,16x + 4y = 56,4,-2
19x - 6y = 61,10x + 10y = 190,7,12
16x + 6y = 74,19x + 7y = 87,2,7
17x + 16y = 101,7x + 13y = 48,5,1
6x + 8y = 78,9x + 20y = 165,5,6
4x + 4y = 48,9x + 7y = 110,13,-1
13x + 3y = 120,9x + 4y = 85,9,1
2x - 8y = -54,6x + 5y = 99,9,9
8x - 13y = -126,14x + 12y = 266,7,14
20x + 19y = 213,12x + 17y = 167,4,7
6x - 11y = -1,9x + 19y = 176,9,5
18x + 5y = 74,6x + 8y = 50,3,4
7x - 8y = 47,4x + 14y = 64,9,2
15x + 11y = 107,13x + 10y = 96,2,7
19x - 18y = 48,10x + 4y = 160,12,10
9x + 15y = 189,19x + 17y = 267,6,9
3x + 8y = 60,6x + 15y = 114,4,6
4x - 6y = 6,4x + 9y = 51,6,3
15x + 19y = 87,6x + 12y = 48,2,3
17x + 5y = 111,20x + 19y = 65,8,-5
18x - 8y = 48,7x + 15y = 236,8,12
15x + y = 81,2x + 12y = 82,5,6
17x + 19y = 227,13x + 10y = 160,10,3
20x - 6y = -10,10x + 14y = 80,1,5
4x + y = 10,8x + 7y = 50,1,6
2x - 11y = -137,11x + 4y = 85,3,13
11x + 7y = -2,19x + 16y = -23,3,-5
11x + 2y = 81,12x + 15y = -27,9,-9
18x + 12y = 138,15x + 5y = 95,5,4
20x + y = 24,x + 13y = 53,1,4
11x + 14y = 111,10x + 5y = 70,5,4
18x + 12y = 162,13x + 14y = 85,13,-6
18x + 15y = -3,18x + 11y = 17,4,-5
3x + 3y = 21,13x + 10y = 88,6,1
7x + 13y = 7,12x + 16y = 56,14,-7
12x + 11y = 208,9x + 8y = 154,10,8
10x + 16y = 154,3x + 18y = 165,1,9
16x + 3y = 57,16x + 14y = 90,3,3
15x + 9y = 30,4x + 12y = -40,5,-5
14x - 11y = 7,13x + 19y = 211,6,7
3x - 10y = -111,9x + 13y = 312,13,15
13x + 6y = 132,14x + 3y = 156,12,-4
12x + 6y = 126,7x + 17y = 33,12,-3
16x + 16y = 64,15x + 10y = 45,1,3
12x + 10y = 138,2x + 19y = 179,4,9
6x + 9y = -39,17x + 17y = -34,7,-9
10x + 15y = -50,16x + 18y = -20,10,-10
4x + 11y = -78,7x + 10y = -44,8,-10
5x - 17y = -105,10x + 5y = 180,13,10
6x + 13y = -30,11x + 17y = -14,8,-6
19x + 17y = -37,7x + 18y = -131,7,-10
5x + 4y = 37,7x + 20y = -49,13,-7
14x - 17y = 44,12x + 20y = 176,8,4
3x + 10y = 115,4x + y = 30,5,10
7x - 3y = -23,17x + 7y = 87,1,10
x + 11y = 31,17x + 6y = 165,9,2
14x + 5y = 47,7x + 4y = 25,3,1
11x - 4y = 81,3x + 11y = 143,11,10
3x + 2y = 23,12x + 8y = 92,9,-2
5x + 9y = -20,6x + 7y = -5,5,-5
19x + 6y = 168,14x + 4y = 120,6,9
10x - 7y = 81,11x + 17y = 262,13,7
18x + 7y = 29,5x + 16y = -6,2,-1
x + y = 14,8x + 7y = 102,4,10
16x + 4y = 100,8x + 20y = 140,5,5
12x + 20y = 76,14x + 4y = 50,3,2
7x + 13y = 27,15x + 20y = 105,15,-6
13x - 10y = 44,8x + 11y = 130,8,6
x + 6y = 57,7x + 16y = 191,9,8
7x + 16y = 170,14x + 13y = 188,6,8
15x - 3y = 21,11x + 5y = 37,2,3
13x + 14y = 31,16x + 6y = 128,11,-8
20x + 7y = 5,11x + 5y = -3,2,-5
13x + 5y = 96,9x + 12y = 75,7,1
8x + 18y = 200,11x + 8y = 141,7,8
12x + 6y = 126,12x + 15y = 189,7,7
5x - 4y = 10,2x + 18y = 298,14,15
11x + 7y = 93,14x + 17y = 86,11,-4
14x - 18y = 30,16x + 2y = 260,15,10
17x + 20y = -12,8x + 6y = 8,4,-4
11x - 17y = 71,8x + 10y = 74,8,1
19x + 9y = 217,20x + 11y = 233,10,3
15x + 13y = 126,10x + 6y = 92,11,-3
20x - 15y = -85,5x + 10y = 75,1,7
12x + 5y = 94,12x + 18y = -36,12,-10
2x + 2y = 0,2x + 17y = -120,8,-8
3x + 15y = 27,20x + 14y = 94,4,1
14x + 15y = 187,2x + 15y = 91,8,5
5x + 4y = 51,7x + 15y = 109,7,4
14x + 10y = 82,16x + 3y = 119,8,-3
